,Transcript,Translation_Status,MiSeqSFPQc.csv,MiSeqNONOc.csv,HuRc_conversionc
616,uc011lgf.1,Translated,0,0,1
617,uc021tqw.1,Untranslated,0,0,1
618,uc003kzq.3,Translated,0,0,1
619,uc003vte.4,Translated,0,0,1
620,uc010vwm.1,Untranslated,0,0,1
621,uc003krk.3,Translated,0,0,1
622,uc003jhv.3,Translated,0,0,1
623,uc002iev.3,Translated,0,0,1
624,uc002acd.1,Translated,0,0,1
625,uc010fyq.3,Translated,0,0,1
626,uc004cff.3,Untranslated,0,0,1
627,uc031ref.1,Translated,0,0,1
628,uc003qlp.3,Translated,0,0,1
629,uc011dgq.2,Translated,0,0,2
630,uc003vfx.3,Translated,0,0,1
631,uc003zle.3,Translated,0,0,1
632,uc003ydf.1,Untranslated,0,0,1
633,uc009zun.4,Translated,0,0,1
634,uc004bvu.4,Translated,0,0,1
635,uc001bgo.3,Translated,0,0,1
636,uc004cfe.4,Translated,0,0,1
637,uc001gcd.3,Translated,0,0,1
638,uc001blb.3,Translated,0,0,1
639,uc010vwg.2,Untranslated,0,0,1
640,uc001pyg.3,Untranslated,0,0,1
641,uc003kvs.1,Translated,0,0,1
642,uc001wxg.4,Translated,0,0,1
643,uc003kuv.2,Translated,0,0,1
644,uc009yjz.3,Translated,0,0,1
645,uc010vwk.2,Untranslated,0,0,1
646,uc002uld.2,Translated,0,0,1
647,uc003oxb.2,Translated,0,0,1
648,uc003pvy.4,Translated,0,0,4
649,uc010vwi.2,Untranslated,0,0,1
650,uc001ira.3,Translated,0,0,1
651,uc009xug.3,Translated,0,0,1
652,uc004aqf.2,Translated,0,0,1
653,uc011kpj.2,Untranslated,0,0,1
654,uc003yeo.2,Translated,0,0,1
655,uc010vwo.1,Untranslated,0,0,1
656,uc003mkl.3,Translated,0,0,2
657,uc002hzo.3,Translated,0,0,1
658,uc021wro.1,Untranslated,0,0,1
