,Transcript,Translation_Status,IonXpress_NONO_c,IonXpress_SFPQt1
317,uc021tqy.1,Untranslated,2,2
318,uc002hjb.3,Translated,1,1
319,uc002tuj.3,Translated,0,1
320,uc002fun.4,Translated,0,1
321,uc031poc.1,Translated,0,1
322,uc001bqm.3,Untranslated,0,2
323,uc002pti.1,Untranslated,0,1
324,uc010cfv.2,Untranslated,0,1
325,uc021xpp.1,Untranslated,0,1
326,uc010hnt.3,Translated,0,2
327,uc010fng.3,Translated,0,1
328,uc010zhv.1,Translated,0,1
329,uc021qjo.1,Untranslated,0,1
330,uc003dlq.3,Translated,0,2
331,uc002fuj.3,Translated,0,1
332,uc010jsq.1,Untranslated,0,1
333,uc011dnc.2,Untranslated,0,2
334,uc011czy.2,Translated,0,1
335,uc001owl.1,Untranslated,0,1
336,uc004car.3,Untranslated,0,1
337,uc004fae.2,Translated,0,1
338,uc021tqu.1,Untranslated,0,1
339,uc010cim.1,Untranslated,0,1
340,uc011bfm.2,Untranslated,0,2
341,uc003nsc.2,Translated,0,2
342,uc002wgh.3,Translated,0,3
343,uc001hwl.3,Translated,0,1
344,uc002wgj.3,Untranslated,0,2
345,uc003ntx.2,Translated,0,2
346,uc011mfi.2,Untranslated,0,1
347,uc002poc.3,Untranslated,0,1
348,uc021pcp.1,Untranslated,0,1
349,uc004cap.4,Translated,0,2
350,uc002wqe.3,Translated,0,1
351,uc011mhg.2,Translated,0,1
352,uc021rst.1,Untranslated,0,2
353,uc021pde.1,Untranslated,0,1
354,uc010xla.2,Translated,0,1
355,uc011bfk.2,Untranslated,0,2
356,uc002mmz.2,Translated,0,1
357,uc003lhb.2,Translated,0,1
358,uc002wqc.3,Translated,0,1
359,uc002ful.1,Untranslated,0,1
360,uc003jtq.3,Untranslated,0,1
361,uc021rul.1,Translated,0,2
362,uc004can.4,Translated,0,2
363,uc002jsb.2,Untranslated,0,1
364,uc002kfn.3,Translated,0,2
365,uc002jsd.2,Untranslated,0,1
366,uc001owh.4,Translated,0,1
367,uc011dnp.1,Translated,0,2
368,uc009zlr.1,Translated,0,1
369,uc004fqf.1,Untranslated,0,1
370,uc001rwn.3,Translated,0,1
371,uc010emz.1,Untranslated,0,1
372,uc009zbd.2,Translated,0,1
373,uc010ext.3,Untranslated,0,1
374,uc021pcf.1,Untranslated,0,1
375,uc003nxp.3,Untranslated,0,1
376,uc001rwp.2,Translated,0,1
377,uc011dmy.2,Translated,0,2
378,uc001rwr.2,Translated,0,1
379,uc003hnm.3,Translated,0,1
380,uc001rwt.2,Translated,0,1
381,uc002fno.2,Translated,0,1
382,uc011dnb.2,Untranslated,0,2
383,uc021rsp.1,Untranslated,0,1
384,uc003zxh.2,Untranslated,0,2
385,uc002fnm.2,Translated,0,1
386,uc011dnn.2,Translated,0,2
387,uc021xpo.1,Untranslated,0,1
388,uc002vpi.3,Translated,0,1
389,uc001qfh.3,Translated,0,1
390,uc002kfp.3,Untranslated,0,2
391,uc001ndj.2,Translated,0,1
392,uc011log.1,Translated,0,1
393,uc010hyv.2,Untranslated,0,1
394,uc021qxv.1,Translated,0,1
395,uc011loe.1,Translated,0,1
396,uc001bqo.3,Untranslated,0,2
397,uc002ptf.3,Translated,0,1
398,uc001qfg.3,Translated,0,1
399,uc021tgu.1,Translated,0,1
400,uc003hnq.3,Untranslated,0,1
401,uc002rdi.3,Translated,0,1
402,uc010sbw.1,Translated,0,1
403,uc003yig.1,Untranslated,0,1
404,uc011loc.1,Translated,0,1
405,uc003ztr.2,Translated,0,1
406,uc010fgr.1,Untranslated,0,1
407,uc021udi.1,Untranslated,0,1
408,uc010vmm.2,Translated,0,2
409,uc003jto.4,Translated,0,1
410,uc001bqs.2,Untranslated,0,1
411,uc003ntv.3,Translated,0,2
412,uc002apz.1,Untranslated,0,1
413,uc001bqq.1,Untranslated,0,1
414,uc003ztp.2,Translated,0,1
415,uc001esc.2,Translated,0,1
416,uc003ntt.3,Translated,0,2
417,uc001bqk.3,Untranslated,0,2
418,uc002eap.3,Translated,0,1
419,uc003rjy.2,Translated,0,1
420,uc001vxa.1,Untranslated,0,1
421,uc011mwg.2,Translated,0,1
422,uc010cpj.1,Untranslated,0,1
423,uc003lhc.1,Translated,0,1
424,uc011bwi.2,Translated,0,1
425,uc031qcu.1,Translated,0,1
426,uc021xpq.1,Untranslated,0,1
427,uc002sqw.2,Translated,0,1
428,uc031qcs.1,Translated,0,1
429,uc001xhh.4,Translated,0,2
430,uc003lha.2,Translated,0,1
431,uc003jtr.1,Translated,0,1
432,uc002gqk.1,Translated,0,1
433,uc010zrt.1,Translated,0,1
434,uc002fuq.3,Translated,0,1
435,uc001ura.3,Translated,0,1
436,uc021tmt.1,Translated,0,1
437,uc004fqc.1,Untranslated,0,1
438,uc010nwc.2,Untranslated,0,1
439,uc010mbk.2,Translated,0,1
440,uc021tqt.1,Translated,0,1
441,uc001uqz.1,Translated,0,1
442,uc004cqp.3,Translated,0,1
443,uc004fah.1,Untranslated,0,1
444,uc011bfl.2,Untranslated,0,2
445,uc001pyp.3,Translated,0,1
446,uc021ogr.1,Untranslated,0,1
447,uc010fnh.1,Untranslated,0,1
448,uc002ezf.3,Translated,0,1
449,uc010vwf.2,Untranslated,0,1
450,uc031tga.1,Untranslated,0,1
451,uc002wqd.3,Translated,0,1
452,uc010rzu.2,Translated,0,1
453,uc010fnf.3,Translated,0,1
454,uc010fxw.1,Untranslated,0,1
455,uc001xhi.2,Translated,0,2
456,uc001nvz.2,Untranslated,0,1
457,uc003dlp.3,Translated,0,2
458,uc002fum.4,Translated,0,1
459,uc010dwz.1,Untranslated,0,1
460,uc002jsa.2,Untranslated,0,1
461,uc021zep.1,Untranslated,0,1
462,uc001nvx.2,Untranslated,0,1
463,uc010aqg.3,Translated,0,2
464,uc002kfo.3,Untranslated,0,2
465,uc001nvv.2,Untranslated,0,1
466,uc002kfm.1,Translated,0,2
467,uc031tdn.1,Untranslated,0,1
468,uc002wqf.1,Untranslated,0,1
469,uc009wwl.3,Untranslated,0,1
470,uc002mna.3,Translated,0,1
471,uc004fqe.1,Untranslated,0,1
472,uc004caq.3,Untranslated,0,1
473,uc004fad.1,Translated,0,1
474,uc021pcu.1,Untranslated,0,1
475,uc004faf.2,Translated,0,1
476,uc009zbc.3,Translated,0,1
477,uc010diu.3,Translated,0,2
478,uc002vpj.3,Untranslated,0,1
479,uc002wgi.3,Translated,0,3
480,uc003zto.1,Translated,0,1
481,uc002fnn.2,Translated,0,1
482,uc011dnq.1,Untranslated,0,1
483,uc002pob.2,Translated,0,1
484,uc011bsb.2,Translated,0,1
485,uc002apy.1,Untranslated,0,2
486,uc010enb.1,Untranslated,0,1
487,uc021vvh.1,Untranslated,0,1
488,uc003lhd.2,Translated,0,1
489,uc004cao.4,Translated,0,2
490,uc003ztq.1,Translated,0,1
491,uc001bqn.3,Untranslated,0,2
492,uc001bql.3,Untranslated,0,2
493,uc003nty.1,Untranslated,0,1
494,uc002rdh.3,Translated,0,1
495,uc001rwm.3,Translated,0,1
496,uc010zlv.1,Translated,0,1
497,uc011dno.1,Translated,0,2
498,uc010vpj.2,Translated,0,1
499,uc021udj.1,Untranslated,0,1
500,uc003ntw.2,Translated,0,2
501,uc002rdj.3,Translated,0,1
502,uc001ndi.2,Translated,0,1
503,uc003ntu.3,Translated,0,2
504,uc011dmx.2,Translated,0,2
505,uc001rwq.2,Translated,0,1
506,uc011dna.2,Translated,0,2
507,uc001rws.2,Translated,0,1
508,uc021ydy.1,Untranslated,0,1
509,uc011dnd.2,Translated,0,2
510,uc010zpy.2,Untranslated,0,3
511,uc002sqx.1,Translated,0,1
512,uc010ndb.2,Untranslated,0,1
513,uc009ylg.1,Translated,0,1
514,uc010cpg.1,Untranslated,0,1
515,uc001qfi.3,Translated,0,1
516,uc010anj.1,Translated,0,1
517,uc001hwm.1,Untranslated,0,1
518,uc003gkb.4,Translated,0,1
519,uc031qct.1,Translated,0,1
520,uc011lof.1,Translated,0,1
521,uc001urb.2,Untranslated,0,1
522,uc001cmk.1,Untranslated,0,1
523,uc002ptg.3,Translated,0,1
524,uc002pte.3,Untranslated,0,1
525,uc010dgx.1,Untranslated,0,1
526,uc010vqw.2,Translated,0,1
527,uc011lod.1,Translated,0,1
528,uc003yif.3,Translated,0,1
529,uc003jtp.3,Translated,0,1
530,uc001tac.3,Translated,0,1
531,uc001esb.2,Translated,0,1
532,uc003rjx.2,Translated,0,1
533,uc010nwb.1,Untranslated,0,1
534,uc010nah.3,Untranslated,0,1
535,uc002hcl.2,Untranslated,0,1
536,uc002hcj.1,Untranslated,0,1
537,uc003rjz.2,Translated,0,1
538,uc001pyo.3,Translated,0,1
539,uc002gql.1,Translated,0,1
540,uc011mwf.1,Translated,0,1
541,uc011dmz.2,Translated,0,2
