,Transcript,Translation_Status,IonXpress_SFPQ_N,IonXpress_NONO_N
564,uc021qew.1,Translated,1,0
565,uc002fuq.3,Translated,1,0
566,uc001ura.3,Translated,2,1
567,uc001phn.1,Translated,1,0
568,uc002ipe.3,Translated,1,0
569,uc004edw.3,Translated,1,0
570,uc001mjf.1,Translated,1,1
571,uc001emm.4,Translated,2,3
572,uc004fqc.1,Untranslated,1,0
573,uc021tak.1,Untranslated,1,1
574,uc004eqk.3,Translated,1,1
575,uc001xiy.3,Translated,1,1
576,uc021tqv.1,Untranslated,5,3
577,uc031tci.1,Untranslated,1,2
578,uc021tqt.1,Translated,3,1
579,uc001uqz.1,Translated,2,1
580,uc011bfl.2,Untranslated,3,0
581,uc001jom.1,Translated,1,1
582,uc001tfu.1,Untranslated,1,0
583,uc001joo.3,Translated,1,1
584,uc003inx.2,Translated,1,2
585,uc010plh.2,Translated,1,1
586,uc002cyt.2,Translated,1,0
587,uc021qjv.1,Untranslated,1,0
588,uc001tfq.3,Translated,1,0
589,uc021viy.1,Untranslated,1,1
590,uc010bhg.1,Translated,1,0
591,uc001mjd.3,Translated,2,1
592,uc010vwf.2,Untranslated,3,1
593,uc010vwj.2,Untranslated,5,3
594,uc011acl.1,Untranslated,1,1
595,uc010vgi.1,Translated,4,5
596,uc010vwh.2,Untranslated,5,3
597,uc002vpt.4,Translated,2,2
598,uc031slp.1,Translated,1,1
599,uc009wru.2,Untranslated,2,0
600,uc003ysa.2,Untranslated,2,24
601,uc003phw.2,Translated,1,0
602,uc010sno.2,Translated,1,0
603,uc010vwn.1,Untranslated,5,3
604,uc001ykx.1,Translated,1,0
605,uc009wwj.1,Untranslated,2,1
606,uc003lnc.3,Translated,1,1
607,uc001xfj.1,Untranslated,1,0
608,uc021tpw.1,Untranslated,2,0
609,uc004caq.3,Untranslated,1,1
610,uc011dbq.1,Translated,1,0
611,uc002sit.4,Translated,1,0
612,uc002ozz.3,Translated,1,0
613,uc010oye.3,Translated,2,3
614,uc011jxj.2,Translated,1,0
615,uc001dpe.2,Untranslated,2,2
616,uc011dbs.1,Translated,1,0
617,uc002yad.3,Translated,1,0
618,uc009wwn.1,Untranslated,2,2
619,uc002ozx.4,Translated,1,0
620,uc021ynr.1,Untranslated,1,1
621,uc001cgg.3,Untranslated,2,2
622,uc001dpi.4,Translated,1,0
623,uc021sge.1,Untranslated,1,2
624,uc003mkw.4,Translated,1,0
625,uc010yzc.2,Untranslated,1,1
626,uc002wgi.3,Translated,6,3
627,uc003zto.1,Translated,1,0
628,uc002wgk.1,Untranslated,1,0
629,uc003mxo.3,Translated,1,0
630,uc001sxt.3,Translated,1,0
631,uc001fnq.3,Translated,2,0
632,uc010acl.3,Translated,1,1
633,uc031qhc.1,Translated,1,2
634,uc009zsc.3,Translated,1,0
635,uc002tay.1,Untranslated,3,0
636,uc003fnr.3,Translated,2,0
637,uc003xaa.4,Translated,1,0
638,uc010acn.3,Translated,1,1
639,uc031tku.1,Translated,1,0
640,uc001ibk.3,Translated,1,1
641,uc001ykv.4,Translated,2,0
642,uc002njk.1,Translated,1,0
643,uc022bqr.1,Untranslated,1,1
644,uc002uqc.4,Translated,2,0
645,uc003gtb.3,Translated,1,0
646,uc011dgt.1,Translated,1,0
647,uc003zpi.1,Translated,1,0
648,uc010roh.3,Translated,51,102
649,uc011dgr.2,Translated,1,0
650,uc003mky.2,Translated,1,0
651,uc002apy.1,Untranslated,2,1
652,uc011mtq.2,Translated,1,1
653,uc010zos.3,Translated,1,0
654,uc002hnq.2,Translated,1,0
655,uc010ujq.2,Translated,7,4
656,uc003zxh.2,Untranslated,3,6
657,uc011kbz.2,Translated,1,0
658,uc001fns.2,Translated,2,0
659,uc021pbb.1,Translated,2,0
660,uc011kbx.2,Translated,1,0
661,uc003tfh.4,Translated,1,0
662,uc002uqg.3,Translated,2,0
663,uc001vbf.4,Translated,1,1
664,uc022bqv.1,Untranslated,1,0
665,uc011del.2,Translated,1,0
666,uc003lyt.1,Translated,1,0
667,uc011lji.1,Translated,1,0
668,uc002fkm.3,Translated,1,6
669,uc003lyr.1,Translated,1,0
670,uc010kgv.3,Translated,1,0
671,uc010vpj.2,Translated,1,1
672,uc003juc.4,Translated,1,0
673,uc021pbz.1,Untranslated,2,0
674,uc011cyw.2,Translated,3,1
675,uc010smh.1,Translated,8,4
676,uc010kgt.2,Translated,1,0
677,uc010zow.3,Translated,1,0
678,uc021pcg.1,Untranslated,1,0
679,uc010kgr.2,Translated,1,0
680,uc010zou.3,Translated,1,0
681,uc003lna.3,Translated,1,1
682,uc002ixe.2,Untranslated,1,0
683,uc003jme.1,Translated,2,1
684,uc001bqd.3,Translated,6,3
685,uc021ohf.2,Untranslated,2,1
686,uc001mqs.3,Translated,1,1
687,uc009xel.2,Translated,1,0
688,uc021ujt.1,Translated,6,4
689,uc021ujz.1,Translated,6,4
690,uc021viz.1,Untranslated,1,1
691,uc011dmb.3,Translated,1,0
692,uc003sry.2,Translated,1,0
693,uc021ujx.1,Translated,6,4
694,uc010buf.1,Translated,1,0
695,uc009xhq.3,Translated,2,28
696,uc004dbk.4,Translated,1,0
697,uc010ltj.1,Untranslated,1,0
698,uc010nfp.3,Untranslated,1,0
699,uc011efo.2,Translated,1,0
700,uc010zyh.3,Translated,1,0
701,uc003ozs.3,Translated,1,0
702,uc004ebl.4,Translated,1,0
703,uc010anj.1,Translated,2,1
704,uc001hwm.1,Untranslated,1,0
705,uc010sce.2,Translated,1,0
706,uc010cpe.2,Untranslated,5,3
707,uc010yhz.1,Translated,1,0
708,uc002gsn.2,Untranslated,1,0
709,uc003gkb.4,Translated,1,2
710,uc010afz.2,Translated,1,0
711,uc010hyw.1,Untranslated,1,0
712,uc031qct.1,Translated,3,3
713,uc011lof.1,Translated,1,0
714,uc001urb.2,Untranslated,2,1
715,uc001cmk.1,Untranslated,2,0
716,uc010hyu.1,Untranslated,2,2
717,uc003soq.4,Translated,3,1
718,uc002gty.3,Untranslated,1,0
719,uc001voj.2,Translated,1,0
720,uc001cmi.3,Translated,5,1
721,uc003qrf.3,Translated,1,0
722,uc003okg.1,Translated,1,0
723,uc010iwu.1,Translated,1,0
