,Transcript,Translation_Status,MiSeqSFPQc.csv,MiSeqNONOc.csv
268,uc011bbd.1,Translated,1,0
269,uc001hgl.3,Translated,1,0
270,uc003esa.2,Translated,1,0
271,uc002isp.2,Untranslated,1,1
272,uc002kcn.3,Translated,1,0
273,uc003sli.1,Translated,1,0
274,uc003esc.2,Translated,1,0
275,uc010iqw.1,Translated,1,0
276,uc031qgg.1,Translated,2,1
277,uc010kyl.4,Translated,1,0
278,uc003hzf.4,Translated,1,0
279,uc009ysh.3,Translated,1,0
280,uc004eaa.2,Translated,2,0
281,uc002fnh.1,Untranslated,1,0
282,uc021vex.1,Untranslated,1,0
283,uc031sik.1,Translated,1,0
284,uc001hgj.3,Translated,1,0
285,uc004eab.2,Translated,2,0
286,uc009xce.3,Translated,2,2
287,uc003umx.1,Untranslated,2,0
288,uc021tel.1,Untranslated,2,1
289,uc001hgh.3,Translated,1,0
290,uc003pdk.2,Translated,1,1
291,uc003dhu.3,Translated,1,0
292,uc009yrk.3,Translated,2,2
293,uc009zat.3,Translated,1,0
294,uc011cna.1,Translated,2,0
295,uc002ikc.3,Translated,2,2
296,uc010bon.3,Translated,1,2
297,uc011egl.1,Translated,17,22
298,uc002hno.3,Translated,1,0
299,uc002iuz.1,Translated,1,0
300,uc011bmg.2,Translated,1,0
301,uc001reh.2,Translated,10,19
302,uc009xmb.3,Translated,1,0
303,uc002rnk.1,Translated,1,0
304,uc010roh.3,Translated,24,35
305,uc002isr.3,Translated,1,1
306,uc002lal.1,Untranslated,1,0
307,uc021qrm.1,Translated,1,0
308,uc003xyl.3,Translated,2,1
309,uc001zev.3,Untranslated,2,1
310,uc001ajf.2,Translated,1,1
311,uc002hnq.2,Translated,1,0
312,uc002fnd.3,Translated,3,1
313,uc022bgu.1,Translated,3,4
314,uc011dyx.1,Untranslated,2,0
315,uc004coa.3,Translated,1,0
316,uc002xum.4,Untranslated,1,2
317,uc002xuo.3,Untranslated,1,2
318,uc003yys.3,Translated,1,1
319,uc021ygi.1,Translated,2,1
320,uc003zzs.1,Translated,3,2
321,uc003yyu.3,Translated,1,1
322,uc011kuj.2,Untranslated,1,1
323,uc002shy.3,Translated,1,0
324,uc001sbh.4,Translated,1,0
325,uc011kuh.2,Translated,1,1
326,uc003quq.5,Translated,16,21
327,uc003csc.3,Translated,1,0
328,uc010psf.2,Untranslated,2,2
329,uc002jfo.1,Translated,2,1
330,uc021qve.1,Untranslated,2,1
331,uc003ztq.1,Translated,1,0
332,uc002yeh.3,Translated,1,3
333,uc003wfb.2,Translated,1,1
334,uc011lkl.2,Translated,1,1
335,uc003ezn.3,Translated,1,0
336,uc001ebl.3,Translated,2,1
337,uc003ezl.3,Translated,1,0
338,uc031ptb.1,Translated,1,1
339,uc002kcm.3,Translated,1,0
340,uc003wfd.2,Translated,1,1
341,uc004eub.3,Translated,1,0
342,uc009xcf.3,Translated,2,2
343,uc001seu.3,Translated,1,0
344,uc001pak.2,Translated,1,1
345,uc003jff.3,Translated,2,2
346,uc010dav.3,Translated,2,2
347,uc011mpw.2,Translated,2,0
348,uc009zmp.1,Untranslated,1,0
349,uc004cam.1,Translated,2,1
350,uc002iva.3,Translated,1,0
351,uc001ses.3,Translated,1,0
352,uc002aec.3,Translated,1,0
353,uc010rpj.2,Translated,1,2
354,uc003fix.4,Translated,2,3
355,uc002shw.3,Translated,1,0
356,uc010urq.2,Translated,1,2
357,uc009vky.3,Translated,2,2
358,uc010rqc.2,Translated,1,0
359,uc011ecr.2,Translated,2,0
360,uc009xhq.3,Translated,6,4
361,uc002nvg.2,Translated,3,7
362,uc010osu.2,Translated,4,1
363,uc021qvg.1,Untranslated,2,1
364,uc004ces.3,Translated,1,0
365,uc010shj.2,Translated,1,0
366,uc031rcv.1,Translated,1,0
367,uc011lof.1,Translated,1,0
368,uc031rcn.1,Translated,1,0
369,uc010ymq.2,Translated,1,0
370,uc031rcl.1,Translated,1,0
371,uc003jeu.2,Translated,2,0
372,uc011lod.1,Translated,1,0
373,uc003wwt.3,Translated,3,1
374,uc003guq.4,Translated,1,0
375,uc003pel.3,Translated,1,0
376,uc021sht.1,Untranslated,2,1
377,uc003gus.4,Translated,1,0
378,uc010snv.2,Translated,1,0
379,uc001iij.3,Translated,1,0
380,uc010wnm.1,Translated,1,0
381,uc002kkg.1,Translated,1,0
382,uc031rcr.1,Translated,1,0
383,uc002nau.4,Translated,1,1
384,uc002wny.3,Translated,1,0
385,uc001xls.2,Translated,2,1
386,uc011dtg.2,Translated,1,1
387,uc003ezh.3,Translated,1,0
388,uc031rcp.1,Translated,1,0
389,uc010cuz.3,Translated,1,0
390,uc003jkk.4,Translated,2,0
391,uc002xvt.1,Translated,1,2
392,uc003olj.3,Translated,1,1
393,uc003tlx.3,Untranslated,1,0
394,uc010ifn.3,Untranslated,1,0
395,uc003guu.4,Translated,1,0
396,uc003olh.3,Translated,1,1
397,uc001oiz.2,Translated,1,2
398,uc002jfp.1,Translated,2,1
399,uc031rcj.1,Translated,1,0
400,uc003ncz.2,Translated,1,0
401,uc001oix.2,Translated,1,2
402,uc002hdy.4,Translated,1,1
403,uc010fec.2,Translated,1,0
404,uc001bgs.4,Translated,2,0
405,uc001doc.1,Translated,4,1
406,uc003qed.4,Translated,2,0
407,uc011laf.2,Translated,3,0
408,uc003dhy.3,Translated,1,0
409,uc002xul.4,Untranslated,1,2
410,uc001ony.4,Translated,1,0
411,uc002hnn.3,Translated,1,0
412,uc010swq.3,Translated,0,1
413,uc021zgs.1,Translated,0,1
414,uc010gno.1,Untranslated,0,1
415,uc031rug.1,Translated,0,1
416,uc002apj.3,Translated,0,1
417,uc031rty.1,Translated,0,1
418,uc003udk.4,Translated,0,1
419,uc021ult.1,Translated,0,1
420,uc002tng.1,Translated,0,1
421,uc002xvd.4,Translated,0,1
422,uc001tku.4,Untranslated,0,1
423,uc021rmu.1,Translated,0,1
424,uc022buv.1,Translated,0,1
425,uc001hpw.3,Translated,0,1
426,uc003hiy.3,Untranslated,0,1
427,uc010qxm.2,Translated,0,1
428,uc002api.3,Translated,0,1
429,uc010tiu.2,Translated,0,1
430,uc003qoc.3,Translated,0,1
